image_key,CONCEPT,PCguess,INDEX_RECORDED_TIMESTAMP,SVY_OPS,Transect Priority,NEW priority,MapLoc,Target RANSMPL (1/10),KF_USBL_LON,KF_USBL_LAT,SubstConc (17-7-19),IMAGE_NO,QUAD-Size,RANSEL_NO,RAN_SEL_STAT,"Selection round (1 orig sel, 2 replacement)",SelNo-NS replaced,COMMENTS,depth
032_0449,Solenosmilia matrix,2,27/11/2018 1:53,IN2018_V06_032,1,1,Hill U,55,147.1910311,-44.32015332,Rock,449,12.82138384,29,QT,1,29,NA,1333.55
098_0057,Solenosmilia matrix,100,7/12/2018 7:55,IN2018_V06_098,1,1,z110,74,146.1916534,-44.26611018,Coral reef substrate,57,9.7328775,33,QT,1,33,NA,1299
113_0092,Solenosmilia matrix,100,8/12/2018 22:12,IN2018_V06_113,1a,1a,z16,33,147.0662528,-44.29371944,Coral reef substrate,92,9.562109015,30,QT,1,30,NA,NA
176_0639,Solenosmilia matrix,30,16/12/2018 10:28,IN2018_V06_176,1b,1b,St Helens,66,148.7373835,-41.22842304,Coral rubble,639,1.901475524,NA,QT-2,2,36,NA,950.3425
145_0056,Solenosmilia matrix,5,12/12/2018 3:27,IN2018_V06_145,2,2,z77,70,147.3900705,-44.26336556,Rock,56,4.505103886,37,QT,1,37,NA,1529.26875
082_0115,Solenosmilia matrix,60,5/12/2018 11:34,IN2018_V06_082,1,1,Hill K1,41,147.3890719,-44.29549619,Coral rubble,115,4.762660252,15,QT,1,15,NA,1415.1625
113_0198,Solenosmilia matrix,25,8/12/2018 22:22,IN2018_V06_113,1a,1a,z16,33,147.0621083,-44.29525278,Coral rubble,198,2.261462562,9,QT,1,9,NA,NA
046_0236,Solenosmilia matrix,3,29/11/2018 5:38,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2398577,-44.26051986,Rock,236,4.631857231,56,QT,1,56,NA,1136.878571
042_0111,Solenosmilia matrix,2,28/11/2018 16:11,IN2018_V06_042,fished,1c,Sisters,81,147.2524609,-44.27427014,cobble - boulder,111,11.02146378,70,QT,1,70,NA,948.7125
045_0234,Solenosmilia matrix,15,29/11/2018 1:00,IN2018_V06_045,1,1,Hill K1,44,147.3903924,-44.2884889,Rock,234,13.9844137,66,QT-2,2,2,NA,1514.86
059_0318,Solenosmilia matrix,10,1/12/2018 4:34,IN2018_V06_059,fished,1c,Sisters,56,147.229373,-44.26331801,Coral rubble,318,7.938824678,84,QT-2,2,52,NA,1217.925
045_0179,Solenosmilia matrix,5,29/11/2018 0:55,IN2018_V06_045,1,1,Hill K1,44,147.3893964,-44.28965637,Coral rubble,179,6.001417149,71,QT-2,2,7,NA,1445.4
